trade_date,ticker,open_price,close_price,volume,sector,validated,currency,exchange,notes
2025-09-05,MSFT,NA,NA,8352061,Technology,NO,NA,NYSE,EoD
2025-09-05,AMZN,151.52,NA,14869174,Consumer Discretionary,NO,NA,NA,pre-earnings
2025-09-05,GOOGL,140.85,139.93,14453664,Communication Services,YES,NA,NASDAQ,NA
2025-09-05,NVDA,1182.79,1194.65,26249454,Semiconductors,NA,USD,NASDAQ,gap down
2025-09-05,TSLA,NA,247.70,18533645,Automotive,YES,NA,NYSE,gap down
2025-09-05,META,501.15,499.63,13419204,Communication Services,YES,NA,NASDAQ,gap down
2025-09-05,NA,NA,615.14,12069464,Communication Services,NO,NA,NYSE,rev miss
2025-09-08,NA,NA,191.86,NA,Technology,NA,NA,NA,EoD
2025-09-08,MSFT,457.52,459.51,NA,NA,NO,USD,NYSE,NA
2025-09-08,AMZN,151.69,153.27,23437878,Consumer Discretionary,NA,NA,NA,NA
2025-09-08,NA,142.70,142.99,14501755,Communication Services,NO,USD,NASDAQ,rev miss
2025-09-08,NVDA,1176.38,1181.80,7701521,Semiconductors,YES,USD,NYSE,EoD
2025-09-08,NA,246.91,NA,14507099,Automotive,NO,NA,NASDAQ,NA
2025-09-08,META,492.97,492.95,9875627,Communication Services,NA,NA,NYSE,NA
2025-09-08,NFLX,598.68,597.17,10608256,Communication Services,NA,NA,NASDAQ,NA
2025-09-09,NA,NA,190.98,15815047,Technology,YES,NA,NYSE,NA
2025-09-09,NA,456.55,451.79,13875045,Technology,NA,USD,NASDAQ,gap down
2025-09-09,AMZN,152.16,149.57,12146366,Consumer Discretionary,NA,NA,NYSE,gap up
2025-09-09,GOOGL,137.92,136.55,17649607,Communication Services,NA,NA,NASDAQ,EoD
2025-09-09,NVDA,1170.34,1176.41,26113271,Semiconductors,NO,USD,NASDAQ,rev miss
2025-09-09,TSLA,248.78,247.89,22284450,Automotive,NO,NA,NA,rev miss
2025-09-09,NA,501.25,NA,15043130,Communication Services,YES,NA,NA,gap up
2025-09-09,NFLX,594.38,593.09,12996923,Communication Services,YES,NA,NA,NA
2025-09-10,AAPL,191.32,192.19,NA,Technology,NA,NA,NYSE,NA
2025-09-10,MSFT,455.90,453.30,15786843,Technology,YES,NA,NYSE,EoD
2025-09-10,AMZN,152.64,153.54,16517181,Consumer Discretionary,NA,USD,NYSE,gap up
2025-09-10,NA,139.34,138.02,14327902,Communication Services,YES,NA,NYSE,EoD
2025-09-10,NVDA,1163.54,1163.42,NA,Semiconductors,NA,NA,NA,rev miss
2025-09-10,TSLA,246.61,246.59,NA,Automotive,NA,NA,NYSE,pre-earnings
2025-09-10,NA,NA,497.72,21308792,Communication Services,NA,NA,NYSE,NA
2025-09-10,NFLX,608.08,609.44,NA,Communication Services,NA,NA,NYSE,NA
2025-09-11,AAPL,191.03,190.36,NA,Technology,NO,NA,NASDAQ,gap up
2025-09-11,MSFT,459.28,457.20,9130603,Technology,NO,NA,NA,NA
2025-09-11,NA,154.25,154.45,NA,Consumer Discretionary,YES,NA,NYSE,NA
2025-09-11,GOOGL,141.46,141.49,16925082,Communication Services,YES,NA,NYSE,gap up
2025-09-11,NVDA,1147.86,1145.22,18494202,Semiconductors,NA,NA,NASDAQ,NA
2025-09-11,NA,245.57,244.12,13802532,Automotive,NA,NA,NA,gap down
2025-09-11,META,500.24,NA,14020760,NA,YES,NA,NASDAQ,gap down
2025-09-11,NFLX,599.71,603.93,28234156,Communication Services,YES,NA,NASDAQ,EoD
2025-09-12,AAPL,NA,193.87,17695286,Technology,YES,USD,NYSE,gap up
2025-09-12,MSFT,458.13,459.11,NA,NA,YES,NA,NYSE,NA
2025-09-12,NA,153.37,154.46,15690960,Consumer Discretionary,NA,USD,NASDAQ,pre-earnings
2025-09-12,GOOGL,140.56,NA,21553254,NA,YES,NA,NYSE,EoD
2025-09-12,NVDA,1188.48,1185.35,8148842,Semiconductors,YES,USD,NA,rev miss
2025-09-12,NA,250.77,253.02,18937073,Automotive,NA,NA,NASDAQ,NA
2025-09-12,META,493.87,499.66,17390597,Communication Services,NA,NA,NASDAQ,NA
2025-09-12,NFLX,NA,601.90,16385756,Communication Services,NA,NA,NASDAQ,rev miss
2025-09-15,AAPL,189.63,189.85,18057940,Technology,NO,NA,NASDAQ,NA
2025-09-15,NA,455.65,459.03,24421544,Technology,YES,USD,NASDAQ,gap down
2025-09-15,NA,154.34,153.27,NA,Consumer Discretionary,NA,USD,NA,EoD
2025-09-15,NA,141.02,141.53,NA,NA,NA,NA,NYSE,NA
2025-09-15,NVDA,NA,NA,NA,Semiconductors,NA,NA,NASDAQ,EoD
2025-09-15,TSLA,246.87,247.52,16971630,Automotive,YES,USD,NASDAQ,EoD
2025-09-15,META,495.26,491.22,19964963,Communication Services,NO,NA,NASDAQ,rev miss
2025-09-15,NA,602.39,594.98,19970497,NA,NO,USD,NYSE,gap up
2025-09-16,AAPL,189.26,NA,11852966,Technology,YES,NA,NASDAQ,NA
2025-09-16,MSFT,451.59,454.19,20995069,Technology,NO,NA,NYSE,gap up
2025-09-16,AMZN,149.32,NA,20326822,Consumer Discretionary,YES,USD,NYSE,gap up
2025-09-16,GOOGL,141.50,139.55,NA,Communication Services,YES,NA,NASDAQ,gap down
2025-09-16,NVDA,1165.29,1172.28,15811224,Semiconductors,NO,NA,NYSE,NA
2025-09-16,TSLA,246.93,246.15,10039069,Automotive,NA,NA,NYSE,pre-earnings
2025-09-16,NA,493.58,487.61,13618139,Communication Services,NA,NA,NYSE,pre-earnings
2025-09-16,NFLX,601.33,601.15,12972173,Communication Services,NO,NA,NYSE,NA
2025-09-17,AAPL,193.25,191.35,18228217,Technology,NA,NA,NYSE,EoD
2025-09-17,MSFT,460.84,NA,12013389,Technology,NA,NA,NASDAQ,EoD
2025-09-17,AMZN,151.75,NA,17792887,Consumer Discretionary,YES,NA,NYSE,gap down
2025-09-17,GOOGL,142.62,143.88,15044928,Communication Services,NA,NA,NYSE,gap down
2025-09-17,NVDA,1157.37,1167.72,20225737,Semiconductors,NA,USD,NASDAQ,pre-earnings
2025-09-17,NA,245.82,NA,14626814,Automotive,NA,NA,NASDAQ,NA
2025-09-17,META,496.12,NA,17607005,Communication Services,YES,USD,NYSE,NA
2025-09-17,NFLX,NA,589.13,21219337,Communication Services,NO,NA,NASDAQ,NA
2025-09-18,AAPL,192.29,NA,10264251,Technology,NA,USD,NASDAQ,gap up
2025-09-18,MSFT,469.77,469.20,NA,NA,NA,NA,NASDAQ,NA
2025-09-18,NA,151.25,NA,15939208,NA,NO,NA,NASDAQ,NA
2025-09-18,GOOGL,NA,143.09,13643371,Communication Services,NA,NA,NASDAQ,NA
2025-09-18,NA,NA,1182.52,18689884,Semiconductors,YES,NA,NASDAQ,rev miss
2025-09-18,TSLA,248.48,NA,16926640,Automotive,NA,NA,NA,gap up
2025-09-18,META,489.98,492.49,14081860,NA,NA,USD,NASDAQ,gap down
2025-09-18,NFLX,601.28,603.35,NA,Communication Services,NA,USD,NYSE,pre-earnings
2025-09-19,AAPL,194.46,195.34,14420971,NA,NO,NA,NASDAQ,rev miss
2025-09-19,MSFT,463.19,465.26,16666909,Technology,YES,USD,NA,NA
2025-09-19,AMZN,147.51,146.91,NA,Consumer Discretionary,NA,NA,NASDAQ,rev miss
2025-09-19,GOOGL,142.12,140.39,16319618,NA,YES,NA,NYSE,rev miss
2025-09-19,NA,1187.91,NA,14070878,Semiconductors,NA,USD,NASDAQ,EoD
2025-09-19,TSLA,249.10,249.97,18295999,Automotive,NO,NA,NYSE,NA
2025-09-19,META,492.44,NA,NA,Communication Services,YES,NA,NYSE,NA
2025-09-19,NFLX,602.35,598.24,NA,Communication Services,YES,NA,NYSE,gap up
2025-09-22,AAPL,191.22,190.35,13110656,Technology,NA,USD,NYSE,gap down
2025-09-22,MSFT,455.39,456.08,8276829,NA,YES,NA,NASDAQ,gap down
2025-09-22,NA,153.27,153.77,9759391,Consumer Discretionary,NO,NA,NASDAQ,gap up
2025-09-22,GOOGL,140.47,141.13,12664515,Communication Services,YES,NA,NYSE,pre-earnings
2025-09-22,NVDA,1161.16,1161.84,14654139,Semiconductors,NO,NA,NASDAQ,NA
2025-09-22,TSLA,244.43,249.62,23818197,Automotive,YES,NA,NASDAQ,NA
2025-09-22,META,494.55,492.45,18296496,Communication Services,NO,NA,NYSE,rev miss
2025-09-22,NFLX,607.78,610.89,20957288,Communication Services,NO,NA,NASDAQ,pre-earnings
2025-09-23,AAPL,190.72,192.45,21215631,Technology,NO,NA,NASDAQ,rev miss
2025-09-23,MSFT,458.03,457.23,12499333,NA,NO,NA,NYSE,pre-earnings
2025-09-23,AMZN,NA,NA,17727281,Consumer Discretionary,NA,USD,NYSE,NA
2025-09-23,GOOGL,140.31,141.13,NA,Communication Services,YES,USD,NA,NA
2025-09-23,NA,1163.04,1171.71,NA,Semiconductors,NO,USD,NYSE,gap up
2025-09-23,TSLA,246.55,NA,13092898,Automotive,NA,NA,NYSE,EoD
2025-09-23,META,497.11,495.49,NA,Communication Services,YES,NA,NYSE,NA
2025-09-23,NFLX,594.55,598.47,10091800,Communication Services,NO,NA,NASDAQ,pre-earnings
2025-09-24,AAPL,191.89,193.26,NA,Technology,NA,NA,NASDAQ,gap down
2025-09-24,NA,NA,448.70,17854112,NA,NO,USD,NYSE,rev miss
2025-09-24,AMZN,152.74,151.31,10422864,Consumer Discretionary,NA,NA,NA,gap up
2025-09-24,GOOGL,NA,138.27,23671036,NA,NA,NA,NASDAQ,pre-earnings
2025-09-24,NVDA,1174.66,NA,19087677,Semiconductors,YES,NA,NASDAQ,rev miss
2025-09-24,TSLA,241.65,240.84,NA,NA,NA,NA,NA,pre-earnings
2025-09-24,META,498.03,498.36,15046697,Communication Services,NA,USD,NYSE,gap down
2025-09-24,NFLX,NA,609.46,19565436,NA,NO,NA,NA,NA
2025-09-25,AAPL,190.32,191.00,15829296,Technology,YES,NA,NASDAQ,gap down
2025-09-25,MSFT,460.39,465.33,NA,Technology,NO,NA,NYSE,NA
2025-09-25,AMZN,152.42,152.68,NA,NA,YES,USD,NYSE,NA
2025-09-25,GOOGL,140.59,140.39,15032508,Communication Services,NA,NA,NASDAQ,pre-earnings
2025-09-25,NVDA,NA,NA,24854400,Semiconductors,NA,USD,NYSE,NA
2025-09-25,NA,NA,244.64,13844080,Automotive,NA,NA,NYSE,rev miss
2025-09-25,META,492.18,NA,17495648,Communication Services,YES,NA,NASDAQ,pre-earnings
2025-09-25,NFLX,601.63,593.82,19759188,Communication Services,NA,USD,NASDAQ,NA
2025-09-26,NA,189.58,188.31,NA,Technology,NO,USD,NASDAQ,gap down
2025-09-26,MSFT,459.44,462.15,16868911,Technology,NA,NA,NYSE,EoD
2025-09-26,AMZN,152.05,NA,20302680,NA,NA,NA,NYSE,pre-earnings
2025-09-26,NA,141.07,140.02,NA,Communication Services,YES,NA,NA,gap up
2025-09-26,NVDA,1186.61,1196.44,16979881,Semiconductors,YES,NA,NASDAQ,EoD
2025-09-26,TSLA,244.58,NA,16454864,Automotive,NO,NA,NASDAQ,gap up
2025-09-26,META,498.69,501.48,NA,Communication Services,NO,NA,NASDAQ,NA
2025-09-26,NFLX,NA,597.42,10203960,Communication Services,NO,NA,NASDAQ,pre-earnings
2025-09-29,AAPL,192.90,191.77,13649802,Technology,NA,NA,NASDAQ,gap up
2025-09-29,NA,458.11,458.13,9925289,Technology,NA,NA,NA,rev miss
2025-09-29,AMZN,152.60,152.63,19411228,Consumer Discretionary,NA,NA,NASDAQ,rev miss
2025-09-29,GOOGL,140.04,140.24,20032515,Communication Services,NA,NA,NYSE,gap down
2025-09-29,NVDA,1148.04,1154.16,9917099,Semiconductors,YES,USD,NASDAQ,NA
2025-09-29,TSLA,NA,243.76,24687847,Automotive,YES,NA,NASDAQ,NA
2025-09-29,META,492.21,491.89,15418173,Communication Services,NA,USD,NASDAQ,gap down
2025-09-29,NFLX,606.48,602.90,12706336,Communication Services,NO,NA,NASDAQ,gap down
2025-09-30,AAPL,191.65,NA,13133292,Technology,NO,NA,NYSE,pre-earnings
2025-09-30,MSFT,462.20,457.71,16430608,Technology,NA,NA,NYSE,NA
2025-09-30,AMZN,152.25,151.45,16867818,Consumer Discretionary,NA,NA,NYSE,EoD
2025-09-30,GOOGL,140.75,142.17,9533871,NA,NO,NA,NA,pre-earnings
2025-09-30,NVDA,1185.83,1182.04,15924683,Semiconductors,YES,NA,NASDAQ,rev miss
2025-09-30,TSLA,240.22,237.15,12315540,NA,NA,NA,NASDAQ,EoD
2025-09-30,META,NA,496.95,12120961,Communication Services,NA,USD,NASDAQ,gap up
2025-09-30,NFLX,NA,NA,15315890,Communication Services,NA,USD,NA,pre-earnings
2025-10-01,NA,NA,194.61,NA,Technology,NA,USD,NA,NA
2025-10-01,MSFT,461.41,NA,18088697,Technology,NO,NA,NASDAQ,NA
2025-10-01,NA,152.28,151.35,11996665,Consumer Discretionary,NO,NA,NASDAQ,pre-earnings
2025-10-01,GOOGL,141.20,142.05,21916778,Communication Services,YES,USD,NYSE,NA
2025-10-01,NVDA,1175.26,1176.72,NA,Semiconductors,NO,USD,NYSE,NA
2025-10-01,TSLA,242.74,244.34,21182912,Automotive,YES,NA,NA,gap down
2025-10-01,META,500.05,496.37,18594788,Communication Services,YES,USD,NYSE,NA
2025-10-01,NFLX,604.21,NA,14276003,NA,NO,NA,NYSE,NA
2025-10-02,AAPL,189.67,NA,16242276,Technology,NA,NA,NASDAQ,NA
2025-10-02,MSFT,456.77,456.91,NA,Technology,YES,NA,NASDAQ,NA
2025-10-02,NA,154.17,154.29,17328093,Consumer Discretionary,YES,NA,NASDAQ,NA
2025-10-02,GOOGL,142.74,143.26,16906969,Communication Services,NA,NA,NYSE,NA
2025-10-02,NVDA,NA,1176.98,NA,Semiconductors,NO,USD,NYSE,EoD
2025-10-02,TSLA,244.33,247.89,21226923,Automotive,NA,NA,NYSE,gap up
2025-10-02,NA,NA,488.27,18958682,Communication Services,NO,NA,NASDAQ,rev miss
2025-10-02,NA,594.85,596.41,NA,Communication Services,YES,NA,NASDAQ,gap down
2025-10-03,AAPL,191.15,191.14,17645740,NA,NA,NA,NA,NA
2025-10-03,MSFT,456.55,454.32,NA,Technology,NA,NA,NYSE,NA
2025-10-03,AMZN,151.24,150.67,8042702,Consumer Discretionary,YES,NA,NYSE,rev miss
2025-10-03,GOOGL,NA,142.58,13081100,Communication Services,NO,USD,NASDAQ,gap down
2025-10-03,NVDA,NA,1189.83,16429220,Semiconductors,NA,NA,NA,NA
2025-10-03,NA,NA,247.66,NA,Automotive,NA,NA,NYSE,pre-earnings
2025-10-03,META,499.14,500.78,NA,Communication Services,NO,NA,NASDAQ,NA
2025-10-03,NFLX,608.54,606.87,NA,NA,YES,NA,NA,gap up
